Date,Ball1,Ball2,Ball3,Ball4,Ball5,xBall1,xBall2
14/04/2020,6,12,20,21,34,4,5
21/04/2020,7,17,21,37,39,3,5
28/04/2020,2,5,13,15,23,6,8
05/05/2020,8,9,30,34,48,5,8
12/05/2020,6,8,16,44,50,1,10
19/05/2020,3,17,21,35,42,8,9
26/05/2020,7,16,36,42,43,6,8
02/06/2020,8,17,21,23,47,2,6
09/06/2020,9,15,27,41,44,2,4
16/06/2020,2,5,9,29,32,2,4
23/06/2020,5,21,23,29,35,7,9
30/06/2020,12,18,27,33,41,9,10
07/07/2020,5,10,26,37,42,3,10
14/07/2020,5,10,25,29,32,4,7
21/07/2020,4,19,34,41,43,1,5
28/07/2020,1,17,20,36,49,6,9
04/08/2020,5,31,39,46,49,8,9
11/08/2020,1,8,33,38,43,2,6
18/08/2020,11,20,31,35,46,6,10
25/08/2020,10,15,18,24,39,2,11
01/09/2020,7,8,35,37,49,5,8
08/09/2020,9,10,28,38,48,8,12
15/09/2020,2,26,41,45,48,5,12
22/09/2020,19,20,24,36,41,4,5
29/09/2020,2,5,10,20,24,4,7
06/10/2020,3,7,15,17,35,3,4
13/10/2020,2,18,28,42,50,2,11
20/10/2020,10,27,32,41,49,1,9
27/10/2020,5,6,17,18,34,1,11
03/11/2020,6,13,22,24,30,5,10
10/11/2020,5,6,39,49,50,10,12
17/11/2020,3,7,34,43,50,5,10
24/11/2020,7,13,30,43,47,7,11
01/12/2020,2,13,41,45,50,2,3
08/12/2020,4,22,28,32,47,1,2
15/12/2020,25,26,40,45,47,4,5
22/12/2020,8,26,29,41,48,3,5
29/12/2020,14,30,37,39,50,4,12
05/01/2021,4,22,27,39,41,1,9
12/01/2021,5,7,45,48,49,3,8
19/01/2021,3,21,23,28,46,10,12
26/01/2021,11,28,30,35,50,7,8
02/02/2021,1,2,23,43,45,1,9
09/02/2021,6,10,17,29,49,2,5
16/02/2021,13,24,30,35,48,4,5
23/02/2021,2,10,23,29,50,3,10
02/03/2021,4,10,24,34,35,7,8
09/03/2021,7,16,28,36,43,2,11
16/03/2021,6,10,22,30,36,8,10
23/03/2021,3,16,26,30,47,1,2
30/03/2021,9,11,16,19,32,3,5
06/04/2021,20,23,24,37,43,9,10
13/04/2021,1,11,17,19,33,3,7
20/04/2021,1,2,7,24,25,2,5
27/04/2021,14,26,29,46,50,10,11
04/05/2021,6,11,39,40,47,7,8
11/05/2021,10,12,17,31,49,2,8
18/05/2021,23,26,36,40,44,5,10
25/05/2021,14,32,34,38,46,2,5
01/06/2021,4,17,32,34,49,4,9
08/06/2021,4,13,32,39,41,6,8
15/06/2021,2,9,18,21,39,4,10
22/06/2021,2,6,18,29,37,10,12
29/06/2021,18,27,41,45,49,7,9
06/07/2021,2,5,11,22,24,7,12
13/07/2021,6,10,11,20,38,3,9
20/07/2021,9,18,26,41,43,4,9
27/07/2021,20,22,26,34,40,8,12
